0,4	2	13	service	1
0,4	5	2,4,5,6,7	food	1
0,4	5	2,4,5,6,7	food	1
0,4	5	2,4,5,6,7	food	1
0,4	6	12,13,14,31,34,35,36	food	0
0,4	6	13,14,31,34,35,36	food	0
0,4	6	13,14,31,34,35,36	food	0
0,4	6	28,45,52,56,70,71,72	food	1
0,4	6	13,14,31,34,35,36	food	0
0,4	6	13,14,31,34,35,36	food	0
0,4	6	13,14,31,34,35,36	food	0
0,4	6	28,45,52,56,70,71,72	food	1
0,4	6	28,45,52,56,70,71,72	food	1
0,4	6	28,45,52,56,70,71,72	food	1
0,4	6	28,45,52,56,70,71,72	food	1
0	6	59,60	food	0
0,4	7	16,21,22,23,24,34	service	1
0,4	7	16,21,22,23,24,34	service	1
0,4	7	26,27,28,29	service	0
0,4	7	26,27,28,29	service	0
0,4	7	26,27,28,29	service	0
0,4	7	16,21,22,23,24,34	service	1
0	7	2,3,4,5,6	service	0
0	7	21,22	service	0
0	7	21	service	0
0	7	22	service	0
0	7	24	service	0
0	7	29	service	1
